fecha,titulo,resumen,categoria,imagen,enlace
23-09-2021,Finaliza construcción del nuevo Instituto Bicentenario José Miguel Carrera,"El proyecto de Bravo Izquierdo, considerado como el establecimiento educacional más moderno de la región, llega a su etapa final.",Obras,,https://bravoizquierdo.cl/web/finaliza-construccion-del-nuevo-instituto-bicentenario-jose-miguel-carrera/
24-08-2021,¿Quieres elegir el mejor lugar para vivir?,"Bravo Izquierdo obtiene sello de calidad nuevamente, reafirmando su compromiso con la excelencia en cada proyecto inmobiliario.",Calidad,,https://bravoizquierdo.cl/web/quieres-elegir-el-mejor-lugar-para-vivir/
23-06-2021,Reconocimiento: Premio Mujer Construye 2021,"En el marco de la Semana de la Construcción, Bravo Izquierdo fue partícipe de la ceremonia del Premio Mujer Construye 2021.",Reconocimientos,,https://bravoizquierdo.cl/web/reconocimiento-premio-mujer-construye-2021/
15-06-2021,CChC presentó Sello Compromiso PRO en obra Connection,"El 26 de mayo, la Cámara Chilena de la Construcción llevó a cabo el lanzamiento del Sello Compromiso PRO en nuestra obra Connection.",Gremial,,https://bravoizquierdo.cl/web/cchc-presento-sello-compromiso-pro-en-obra-connection/
07-06-2021,Bravo Izquierdo participa de la Semana de la Construcción 2021,"El miércoles 26 de mayo Bravo Izquierdo participó de la jornada de sostenibilidad de la Semana de la Construcción.",Sostenibilidad,,https://bravoizquierdo.cl/web/bravo-izquierdo-participa-de-la-semana-de-la-construccion-2021/
20-05-2021,Certificación ISO 9001:2015 Constructora Bravo Izquierdo,"Hace 16 años, Bravo Izquierdo certificó su Sistema de Gestión a través de la Norma Internacional ISO 9001, hito que renovamos año a año.",Calidad,,https://bravoizquierdo.cl/web/certificacion-iso-90012015-constructora-bravo-izquierdo/
